donor_id,donor_name,donor_age,structure_id,structure_name,structure_abbreviation,expression_level
12296,H376.VI.50,0.3,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.8459
12889,H376.VI.51,0.3,10173,dorsolateral prefrontal cortex,DFC,5.6239
12889,H376.VI.51,0.3,10185,ventrolateral prefrontal cortex,VFC,4.9838
12890,H376.VI.52,0.3,10173,dorsolateral prefrontal cortex,DFC,6.7543
12890,H376.VI.52,0.3,10185,ventrolateral prefrontal cortex,VFC,6.6251
12890,H376.VI.52,0.3,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.7052
12977,H376.VII.51,0.8,10173,dorsolateral prefrontal cortex,DFC,7.119
12977,H376.VII.51,0.8,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3547
12830,H376.VIII.51,1,10173,dorsolateral prefrontal cortex,DFC,6.5323
12830,H376.VIII.51,1,10185,ventrolateral prefrontal cortex,VFC,6.7617
12830,H376.VIII.51,1,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.2712
12979,H376.VIII.53,2,10173,dorsolateral prefrontal cortex,DFC,2.9481
12979,H376.VIII.53,2,10185,ventrolateral prefrontal cortex,VFC,2.8591
12979,H376.VIII.53,2,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,2.0082
12836,H376.VIII.52,3,10185,ventrolateral prefrontal cortex,VFC,5.7843
12980,H376.VIII.54,3,10173,dorsolateral prefrontal cortex,DFC,3.4363
12980,H376.VIII.54,3,10185,ventrolateral prefrontal cortex,VFC,3.43
12980,H376.VIII.54,3,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,3.6535
12298,H376.VIII.50,4,10173,dorsolateral prefrontal cortex,DFC,5.7572
12298,H376.VIII.50,4,10185,ventrolateral prefrontal cortex,VFC,6.3811
12841,H376.IX.51,8,10173,dorsolateral prefrontal cortex,DFC,6.412
12841,H376.IX.51,8,10185,ventrolateral prefrontal cortex,VFC,6.5959
12841,H376.IX.51,8,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.1397
12981,H376.IX.52,8,10173,dorsolateral prefrontal cortex,DFC,6.6862
12981,H376.IX.52,8,10185,ventrolateral prefrontal cortex,VFC,7.048
12981,H376.IX.52,8,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.6427
12289,H376.IX.50,11,10173,dorsolateral prefrontal cortex,DFC,7.1918
12289,H376.IX.50,11,10185,ventrolateral prefrontal cortex,VFC,7.1592
12289,H376.IX.50,11,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.9067
12831,H376.X.51,13,10173,dorsolateral prefrontal cortex,DFC,5.9196
12831,H376.X.51,13,10185,ventrolateral prefrontal cortex,VFC,6.0254
12831,H376.X.51,13,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.5013
12984,H376.X.53,18,10173,dorsolateral prefrontal cortex,DFC,5.4426
12984,H376.X.53,18,10185,ventrolateral prefrontal cortex,VFC,4.8065
12984,H376.X.53,18,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,3.7121
12832,H376.X.52,19,10173,dorsolateral prefrontal cortex,DFC,6.1171
12832,H376.X.52,19,10185,ventrolateral prefrontal cortex,VFC,6.046
12832,H376.X.52,19,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3089
13057,H376.XI.60,21,10173,dorsolateral prefrontal cortex,DFC,6.5906
13057,H376.XI.60,21,10185,ventrolateral prefrontal cortex,VFC,6.7078
13057,H376.XI.60,21,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,6.3652
12300,H376.XI.50,23,10185,ventrolateral prefrontal cortex,VFC,5.7735
12300,H376.XI.50,23,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.8194
12290,H376.XI.52,30,10173,dorsolateral prefrontal cortex,DFC,6.287
12290,H376.XI.52,30,10185,ventrolateral prefrontal cortex,VFC,5.7585
12290,H376.XI.52,30,10278,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,5.8702
